"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194","Should get all brands","","Thu Mar 12 18:34:45 UTC 2026","passed","Thu Mar 12 18:34:45 UTC 2026","","[API] Brand test","com.automationexercise.tests.test.api.BrandApiTest","shouldGetAllBrandsTest"
"","7280","Should filter products by category in main page","","Thu Mar 12 18:37:25 UTC 2026","passed","Thu Mar 12 18:37:32 UTC 2026","","[WEB] Product filter tests","com.automationexercise.tests.test.web.ProductFilterWebTest","shouldFilterProductsByCategoryInMainPageTest"
"","5204","Should image carousel show next slide","","Thu Mar 12 18:38:20 UTC 2026","broken","Thu Mar 12 18:38:25 UTC 2026","","[Screenshot] Image carousel tests","com.automationexercise.tests.test.web.screenshot.ImageCarouselScreenshotTest","shouldShowNextSlideTest"
"","148","Should not create user if mandatory param is missing Case: field [email] is not provided","","Thu Mar 12 18:34:48 UTC 2026","passed","Thu Mar 12 18:34:48 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","17236","Should have expected products total price in [Checkout] page","","Thu Mar 12 18:35:14 UTC 2026","failed","Thu Mar 12 18:35:31 UTC 2026","","[WEB] Checkout page test","com.automationexercise.tests.test.web.CheckoutWebTest","shouldHaveExpectedProductsTotalPriceInCheckoutPage"
"","1139","Should get user if user exists","","Thu Mar 12 18:34:45 UTC 2026","failed","Thu Mar 12 18:34:46 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldGetUserIfUserExistsTest"
"","611","Should create user with valid data","","Thu Mar 12 18:34:45 UTC 2026","passed","Thu Mar 12 18:34:46 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldCreateUserWithValidDataTest"
"","173","Should not create user if mandatory param is missing Case: field [city] is not provided","","Thu Mar 12 18:34:47 UTC 2026","passed","Thu Mar 12 18:34:47 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","7801","Should visible empty cart list if products not added to cart","","Thu Mar 12 18:34:54 UTC 2026","passed","Thu Mar 12 18:35:02 UTC 2026","","[WEB] Cart page tests","com.automationexercise.tests.test.web.CartWebTest","shouldVisibleEmptyListIfProductsNotAddedToCartTest"
"","6737","Should filter products by brand in main page","","Thu Mar 12 18:37:32 UTC 2026","passed","Thu Mar 12 18:37:39 UTC 2026","","[WEB] Product filter tests","com.automationexercise.tests.test.web.ProductFilterWebTest","shouldFilterProductsByBrandInMainPageTest"
